2024-06-25 00:04:23.620 [main] INFO  s.s.backend.BackEndApplication StartupInfoLogger - Starting BackEndApplication using Java 19.0.2 with PID 17276 (D:\TMDT_Project_Nhom5_TeamA_BackEnd\build\classes\java\main started by Admin in D:\TMDT_Project_Nhom5_TeamA_BackEnd)
2024-06-25 00:04:23.622 [main] INFO  s.s.backend.BackEndApplication SpringApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-25 00:04:24.501 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-25 00:04:24.612 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 104 ms. Found 18 JPA repository interfaces.
2024-06-25 00:04:25.195 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-25 00:04:25.202 [main] INFO  o.a.coyote.http11.Http11NioProtocol DirectJDKLog - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-25 00:04:25.204 [main] INFO  o.a.catalina.core.StandardService DirectJDKLog - Starting service [Tomcat]
2024-06-25 00:04:25.204 [main] INFO  o.a.catalina.core.StandardEngine DirectJDKLog - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-06-25 00:04:25.259 [main] INFO  o.a.c.c.C.[.[.[/sugarnest/v0.1] DirectJDKLog - Initializing Spring embedded WebApplicationContext
2024-06-25 00:04:25.259 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1598 ms
2024-06-25 00:04:25.373 [main] INFO  com.zaxxer.hikari.HikariDataSource HikariDataSource - HikariPool-1 - Starting...
2024-06-25 00:04:25.658 [main] INFO  com.zaxxer.hikari.pool.HikariPool HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c76fce4
2024-06-25 00:04:25.659 [main] INFO  com.zaxxer.hikari.HikariDataSource HikariDataSource - HikariPool-1 - Start completed.
